date,mean_temperature,max_temperature,min_temperature
2005-01-24,24.36458333333333,24.364583333333332,24.364583333333332
2005-01-25,24.750000000000004,24.750000000000004,24.750000000000004
2005-01-26,25.943750000000012,25.943750000000005,25.943750000000005
2005-01-27,26.441666666666677,26.441666666666666,26.441666666666666
2005-01-28,26.385416666666668,26.385416666666668,26.385416666666668
2005-01-29,27.141666666666662,27.14166666666667,27.14166666666667
2005-01-30,28.004166666666677,28.004166666666677,28.004166666666677
2005-01-31,28.470833333333335,28.470833333333342,28.470833333333342
2005-02-01,27.045833333333338,27.04583333333333,27.04583333333333
2005-02-02,25.729166666666668,25.729166666666668,25.729166666666668
2005-02-03,24.541666666666668,24.54166666666666,24.54166666666666
2005-02-04,23.10000000000001,23.100000000000005,23.100000000000005
2005-02-05,24.127083333333342,24.127083333333335,24.127083333333335
2005-02-06,24.39791666666667,24.397916666666664,24.397916666666664
2005-02-07,25.06875000000001,25.068749999999998,25.068749999999998
2005-02-08,26.058333333333323,26.058333333333326,26.058333333333326
2005-02-09,26.46041666666667,26.46041666666666,26.46041666666666
2005-02-10,25.350000000000012,25.350000000000005,25.350000000000005
2005-02-11,25.347916666666652,25.34791666666666,25.34791666666666
2005-02-12,24.458333333333332,24.458333333333332,24.458333333333332
2005-02-13,22.941666666666666,22.941666666666666,22.941666666666666
2005-02-14,24.060416666666658,24.060416666666665,24.060416666666665
2005-02-15,23.80624999999999,23.806250000000002,23.806250000000002
2005-02-16,24.549999999999997,24.549999999999997,24.549999999999997
2005-02-17,24.891666666666655,24.891666666666666,24.891666666666666
2005-02-18,25.441666666666652,25.44166666666666,25.44166666666666
2005-02-19,26.30624999999999,26.306250000000006,26.306250000000006
2005-02-20,25.402083333333348,25.402083333333337,25.402083333333337
2005-02-21,24.583333333333357,24.583333333333343,24.583333333333343
2005-02-22,24.029166666666683,24.029166666666672,24.029166666666672
2005-02-23,24.93124999999999,24.931250000000006,24.931250000000006
2005-02-24,26.16041666666665,26.16041666666666,26.16041666666666
2005-02-25,24.818750000000012,24.818750000000005,24.818750000000005
2005-02-26,22.839583333333334,22.839583333333326,22.839583333333326
2005-02-27,21.94375000000001,21.943749999999998,21.943749999999998
2005-02-28,22.920833333333334,22.92083333333333,22.92083333333333
2005-03-01,23.95625,23.95625,23.95625
2005-03-02,24.670833333333338,24.67083333333333,24.67083333333333
2005-03-03,24.041666666666675,24.04166666666667,24.04166666666667
2005-03-04,25.079166666666666,25.079166666666676,25.079166666666676
2005-03-05,25.233333333333338,25.23333333333333,25.23333333333333
2005-03-06,24.791666666666668,24.791666666666668,24.791666666666668
2005-03-07,25.14791666666667,25.14791666666666,25.14791666666666
2005-03-08,26.141666666666655,26.141666666666666,26.141666666666666
2005-03-09,25.41458333333333,25.414583333333336,25.414583333333336
2005-03-10,24.71875,24.71875,24.71875
2005-03-11,24.295833333333338,24.29583333333333,24.29583333333333
2005-03-12,23.85000000000001,23.849999999999998,23.849999999999998
2005-03-13,25.656250000000004,25.656250000000004,25.656250000000004
2005-03-14,25.46041666666667,25.460416666666664,25.460416666666664
2005-03-15,25.810416666666658,25.810416666666658,25.810416666666658
2005-03-16,25.183333333333348,25.183333333333337,25.183333333333337
2005-03-17,24.354166666666668,24.35416666666666,24.35416666666666
2005-03-18,24.958333333333332,24.958333333333332,24.958333333333332
2005-03-19,26.112499999999997,26.1125,26.1125
2005-03-20,24.391666666666666,24.391666666666676,24.391666666666676
2005-03-21,23.00833333333333,23.008333333333336,23.008333333333336
2005-03-22,22.48958333333333,22.489583333333332,22.489583333333332
2005-03-23,23.504166666666674,23.504166666666666,23.504166666666666
2005-03-24,23.7625,23.7625,23.7625
2005-03-25,24.00625000000001,24.006249999999998,24.006249999999998
2005-03-26,23.327083333333345,23.327083333333334,23.327083333333334
2005-03-27,23.57083333333333,23.570833333333336,23.570833333333336
2005-03-28,23.156250000000004,23.156250000000004,23.156250000000004
